名称,处方,步骤,功效,用法用量,来源,药材
麻黄蒸梨,麻黄3～5克 大梨1只,先把麻黄捣为粗末；将生梨洗净后，剖开，挖去梨核；把麻黄放入梨心内，再将梨子合严，插上小竹签，然后放入碗内，隔水蒸熟后即可。,止咳。适用于小儿百日咳的初期和痉咳期。也可用于小儿支气管炎咳嗽。,每日2次，每次1只，去麻黄吃梨服汁，连用3～5天。,《上海中医药报》,麻黄/大梨
麻黄葛根汤,麻黄（用开水泡一二次，焙干）芍药各90克 干葛30克 葱白7茎 鼓30克,上药锉碎。,治伤寒一日至二日，头项及腰脊拘急疼痛，浑身烦热，恶寒。,每服12克，用水230毫升，煎至150毫升，去滓温服。服后以厚衣盖覆。半小时后再服。若仍无汗出，再煮葱粥少许，热服以取汗。,《类证活人书》卷十七,麻黄/芍药/干葛/葱白/鼓
麻黄茵陈醇酒汤,麻黄、茵陈。,,黄疸，表实无汗。,用无灰好酒煎服。,《金鉴》卷四十二,麻黄/茵陈
麻黄茱萸汤,麻黄 羌活各1.5克 吴茱萸 黄耆 升麻各0.9克 黄芩 当归 黄柏 藁本各0.6克 川芎 蔓荆子 柴胡 苍术 黄连 半夏各0.3克 细辛少许红花少许,上锉碎，都作一服。,治胸中痛，头痛，食减少，咽嗌不利，右寸脉弦急。,用水300毫升，煎至150毫升，去滓稍热，食后服。用水300毫升，煎至150毫升，去滓稍热，食后服。,《兰室秘藏》卷下,麻黄/羌活/吴茱萸/黄耆/升麻/黄芩/当归/黄柏/藁本/川芎/蔓荆子/柴胡/苍术/黄连/半夏/细辛/少许/红花
麻黄苍术汤,麻黄3克 桂枝1，5克 杏仁10个 草豆蔻1.5克 半夏1，5克 炒曲3克 苍术6克 橘皮3克 泽泻3克 白茯苓3克 猪苓1.5克 黄耆0.9克 炙甘草0.6克,上药哎咀，作一服。,治寒湿所客，身体沉重，腰痛，面色萎黄。,用水300毫升，煎至150毫升，去滓，空腹时稍热服。,《东垣试效方》卷六,麻黄/桂枝/杏仁/草豆蔻/半夏/炒曲/苍术/橘皮/泽泻/白茯苓/猪苓/黄耆/炙甘草
麻黄膏,猪板油2斤（熬去渣入），麻黄2两，百部2两，风子肉2两，花椒2两，升麻1两，紫草1两，枯矾1两。,上同熬枯，去滓，滤清后加黄丹2两收，加杏仁泥、硫黄（研极细末），同收成膏。,一切风寒湿毒或传染而起脓窠癞疥，或湿热湿毒，坐板成疮。,外涂。,《饲鹤亭集方》,猪板油/麻黄/百部/风子肉/花椒/升麻/紫草/枯矾
麻黄羌活汤,麻黄（去节）羌活 防风 甘草（炙）各15克,上为粗末。,治寒疟。头痛项强，脉浮，恶风无汗者。,每服15克，用水230毫升，煎至160毫升，温服。,《素问病机气宜保命集》卷中,麻黄/羌活/防风/甘草
麻黄羌活散,麻黄（去根）1分，羌活1分，牡丹皮（去心）1分，独活1分，山栀1分，柴胡（去苗）1分，桔梗（去芦）1分，升麻1分，荆芥穗1分，大黄1分，知母1分，黄芩1分，半夏4铢，牵牛半两。,上为细末。,温疟，初发浑身大热，头痛不可忍，临醒时即寒栗战动，逡巡便醒。,每服3钱，水1盏，生姜2片，同煎至7分，临发壮热时，和滓吃。须是初发热时服，仍是食后吃，发了已寒，即更不要吃，待第二发热时吃也。,《续易简方》卷三,麻黄/羌活/牡丹皮/独活/山栀/柴胡/桔梗/升麻/荆芥穗/大黄/知母/黄芩/半夏/牵牛
麻黄羌活加半夏汤,麻黄、羌活、防风、甘草、半夏。,,寒疟。先伤于寒，后伤于风，先寒后热，寒多热少，无汗，兼呕吐者。,,《金鉴》卷四十二,麻黄/羌活/防风/甘草/半夏
麻黄续命汤,麻黄（去节）60克 人参 黄芩 芍药 防己 桂枝 川芎 甘草各30克 防风90克 附子15克 杏仁60克,上药除附子、杏仁外，捣为粗末，后入二味调匀。,治中风中腑，无汗恶寒；以及风寒湿痹，痿证等。,每服15～20克，用水230毫升，加生姜5片，煎至150毫升，去滓，空腹时稍热服。,《素问病机气宜保命集》卷中,麻黄/人参/黄芩/芍药/防己/桂枝/川芎/甘草/防风/附子/杏仁
麻黄细辛附子汤,麻黄6克（去节）细辛3克 附子3克（炮）,,助阳解表。治素体阳虚，外感风寒，无汗恶寒，发热倦卧，苔白，脉反沉者。,上三味，用水1升，先煮麻黄，去上沫，纳诸药，煮取300毫升，去滓，分二次温服。方中，麻黄发汗解表，附子温经助阳，细辛通彻表里，助麻黄发汗解表，协附子内散阴寒。故适用于素体阳虚，复感风寒之证。,《伤寒论》,麻黄/细辛/附子
麻黄细辛丸,麻黄（去根节，煎掠去沫，焙）2两，细辛（去苗叶）半两，人参半两，白茯苓（去黑皮）半两，甘草（炙，锉）半两，白术半两，栝楼根3分。,上为末，炼蜜为丸，如鸡头子大。,中风伤寒，头痛恶寒，四肢烦疼，心躁闷。,每服1丸，食前薄荷蜜汤研下。,《圣济总录》卷二十二,麻黄/细辛/人参/白茯苓/甘草/白术/栝楼根
麻黄紫草汤,麻黄（去节）1分，人参1分，杏仁7枚（去皮尖）。,上为粗末。,疮子不出。,每服2钱，以水2盏，用紫草5寸，同煎至1盏，去滓，分为3-4服，每日2次。服本方时，不可服其它药。,《奇效良方》卷六十五,麻黄/人参/杏仁
麻黄粥,麻黄1大两（去节）。,,天行1-2日。,以水4升煮，去沫，取2升，去滓，加米1匙及豉，为稀粥，取强1升。先作熟汤洗浴，淋头100余碗，然后服粥。厚覆取汗，于夜最佳。,方出《证类本草》卷八引《必效方》，名见《圣惠》卷十七,麻黄
麻黄石膏汤,麻黄（去节）1两，石膏（研）9钱，杏仁（去皮尖，研）4钱，前胡5钱，枳壳3钱，黄芩1两。,上（口父）咀，如麻豆。,凡疹见标，腮红隐隐不起，旋出旋没，发热烦渴，喘急神昏，不省人事，谵语发狂，身干无汗，大便闭塞。,大人作2帖，中人作3帖，小人作4帖，水煎，温服。,《治疹全书》,麻黄/石膏/杏仁/前胡/枳壳/黄芩
麻黄知母石膏汤,麻黄1两，桂枝2钱2字半，甘草3钱1字半，杏仁50个，知母半两，石膏1两。,,伤寒，太阳无汗。,夏至后服。,《伤寒图歌活人指掌》卷四,麻黄/桂枝/甘草/字半/杏仁/知母/石膏
麻黄白虎汤,麻黄、葛根、苏叶、防风、石膏、知母、杏仁、黄芩。,,疹已出，阳毒热甚，烦躁口渴，齿槁出血，唇焦舌刺，不吐不泻，壮热无汗，鼻孔燥黑，喘急气闷，鼻煽痰嘶者。,水煎服。,《治疹全书》卷中,麻黄/葛根/苏叶/防风/石膏/知母/杏仁/黄芩
麻黄白术汤,麻黄（去节）、官桂、青皮、陈皮、川芎、白芷、半夏曲、紫苏、茯苓、白术、北梗、甘草（炙）各等分。,上锉散。,感风发疟。,原书治上证，加细辛、槟榔。,《直指》卷十二,麻黄/官桂/青皮/陈皮/川芎/白芷/半夏曲/紫苏/茯苓/白术/北梗/甘草
麻黄白术散,麻黄（去节，汤浸）白术 茯苓 桂心各30克 陈皮 青皮 桔梗 白芷 甘草 半夏曲 紫苏 乌梅各22克 干姜15克,上锉为散。,治大便不通，小便赤黄，浑身肿，其色黄，麻木身重如山，沉困无力，四肢痿软，不能举动，喘促，唾清水白沫如胶，吐哕痰唾，时躁热，发欲去衣，须臾而过，振寒，项额有时如冰，头旋眼黑，目中溜火，冷泪，鼻不闻香臭，少腹急痛，当脐有动气，按之坚硬而痛。,上作一服，水二钟，如麻黄先煎令沸，去沫，再入诸药，同煎至一钟，食远稍热服。麻黄（去节，汤浸）白术 茯苓 桂心各30克 陈皮 青皮 桔梗 白芷 甘草 半夏曲 紫苏 乌梅各22克 干姜15克,明·方贤着《奇效良方》,麻黄白术/茯苓/桂心/陈皮/青皮/桔梗/白芷/甘草/半夏曲/紫苏/乌梅/干姜
麻黄生姜汤,麻黄（去根节，煎掠去沫，焙）1两，五倍子2两，甘草（炙）2两，杏仁（去皮尖双仁）80枚，淡竹叶（切）1升，石膏（研）6两。,上（口父）咀，如麻豆。,肺气喘急。,每服6钱匕，以水2盏，煎取1盏，去滓温服，每日3次。,《圣济总录》卷四十八,麻黄/五倍子/甘草/杏仁/淡竹叶/石膏
麻黄甘草汤,麻黄1分，杏仁1分，桑白皮1分，甘草1分。,,定烦喘。主,上（口父）咀。以水1升，煮取4合，放温分减服。若脉数有热，以竹沥代水一半煎之。,《伤寒总病论》卷四,麻黄/杏仁/桑白皮/甘草
麻黄牵牛汤,麻黄（去节）羌活 射干 荆芥穗 紫菀茸 防风 知母 蔓荆子 牵牛各3克 半夏6克,上药为末。,治石淋，水道不通，头痛昏闷。,每服6克，用水150毫升煎，热服。,《古今医统》卷七十一,麻黄/羌活/射干/荆芥穗/紫菀茸/防风/知母/蔓荆子/牵牛/半夏
麻黄煎丸,麻黄5斤（去根节），白花蛇肉1斤，乌蛇肉1斤，巴豆1两（去皮心，研如膏，与前3味同于釜内用水1石旋旋添水煮，水耗即添热汤，候两复时，热水及3-4斗已来，净滤去麻黄并蛇，将药水以生绢净滤过，再入锅内慢火渐熬，令稀稠得所，盛于净器中，则别入后药），硫黄1两（滴生甘草水研1复时），硇砂（浆水化去石，于铫子内熬令干）1两，干蝎1两（于瓷盒子内炒令褐色），桂心1两，附子1两（炮裂，去皮脐），防风1两（去芦头），天麻1两，沉香1两，羌活1两，天南星1两（炮裂），天雄1两（炮裂，去皮脐），羚羊角屑1两，槟榔1两，白僵蚕1两（微炒），当归1两（锉，微炒），牛黄半两（细研），犀角屑1两，白龙脑半两（细研），麝香半两（细研）。,上为散。入研了药，更研令匀，入麻黄煎内相和为丸，如梧桐子大。,瘫痪风，脚手肿满，骨节疼痛。,麻黄丸（《圣济总录》卷七）。麻黄丸（《圣济总录》卷七）。,《圣惠》卷二十,麻黄/白花蛇肉/乌蛇肉/巴豆/硫黄/硇砂/干蝎/桂心/附子/防风/天麻/沉香/羌活/天南星/天雄/羚羊角屑/槟榔/白僵蚕/当归/牛黄/犀角屑/白龙脑/麝香
麻黄煎,麻黄4两，茯苓4两，防风5两，泽漆5两，白术5两，杏仁1升，大戟1升，清酒1升，黄耆3两，猪苓3两，泽泻4两，独活8两，大豆2升（水7升，煮取1升）。,,利小便。主风水，通身肿欲裂。,上（口父）咀。以豆汁、酒及水1斗合煮，取6升，分6-7服，1日1夜令尽。当小便极利为度。,《千金》卷二十一,麻黄/茯苓/防风/泽漆/白术/杏仁/大戟/清酒/黄耆/猪苓/泽泻/独活/大豆
麻黄温痹汤,麻黄10g，羌活10g，独活10g，制川乌10g，制草乌10g，八里麻1g，桂枝10g，黄耆20g，川牛膝12g，木瓜12g，威灵仙12g，鸡血藤10g，细辛3g，制附块10g，伸筋草10g，寻骨风10g，苍耳子10g，秦艽10g，桑寄生10g，炙甘草10g。,,祛风散寒，舒筋活络。主风寒湿邪侵袭经络，留滞关节，关节肿大疼痛者。,水煎服，每日1剂。,《千家妙方》卷上引范国（木梁）方,麻黄/羌活/独活/制川乌/制草乌/八里麻/桂枝/黄耆/川牛膝/木瓜/威灵仙/鸡血藤/细辛/制附块/伸筋草/寻骨风/苍耳子/秦艽/桑寄生/炙甘草
麻黄浴汤,麻黄30克 苦参30克 石膏60克 滑石60克 大黄150克,,治小儿小便不通，发热腹满。,用水4升，煎至2升，去滓放温，外用洗浴，先自脐部淋起。麻黄1把，苦参1把，石膏1把，滑石1升，大黄5两，雷丸4两，秦皮1两。,《永乐大典》卷一○三三引《婴孺方》,麻黄/苦参/石膏/滑石/大黄
麻黄泻白散,桑白皮1钱，地骨皮1钱，甘草半钱，麻黄半钱，杏仁半钱。,,风寒伤肺，喘急咳嗽。,上（口父）咀。加生姜3片，水煎服。,《保命歌括》卷十八,桑白皮/地骨皮/甘草/麻黄/杏仁
麻黄汤,麻黄（去节）6g 桂枝4g 杏仁（去皮尖）9g 甘草（炙）3g,上四味，切。,外感风寒。恶寒发热，头痛身疼，无汗而喘，舌苔薄白，脉浮紧。,上四味，以水九升，先煮麻黄减二升，去上沫，内诸药煮去二升半，去滓，温服八合，覆取微似汗，不须啜粥，余如桂枝法将息。麻黄（去节.先煎掠去沫.焙干.二两） 甘草（炙.一分） 当归（焙.一分） 黄芩（去黑心.一分） 石膏（搥碎.一两） 桂心（半两） 川芎（半两） 附子（炮.去皮脐.半两） 干姜（炮.半两） 杏仁（汤浸.去皮尖.炒.研.二十枚）,《伤寒论》,麻黄/桂枝/杏仁/甘草
麻黄止烦下气汤,麻黄（去节）3两，栀子仁3两，茯苓3两，子芩3两，白术3两，石膏8两（碎，绵裹），桂心2两，芒消3两，生地黄（切）1升，大枣30枚，鸡子2枚，甘草1两（炙），赤小豆2合。,,心劳实热，好笑无度，自喜，四肢烦热。,上切，以水1斗煎和，下鸡子白搅调，去沫，下诸药，煎取2升5合，去滓，下竹沥、芒消，煎1沸，分3次服。,《外台》卷十六引《删繁方》,麻黄/栀子仁/茯苓/子芩/白术/石膏/桂心/芒消/生地黄/大枣/鸡子/甘草/赤小豆
麻黄止汗通肉解风痹汤,麻黄（去节）3两，枳实（炙）3两，防风3两，白术3两，细辛3两，石膏8两（碎，绵裹），生姜4两，附子（炮）4两，甘草（炙）2两，桂心2两。,,肉极热，肌痹，淫淫如鼠走身上，津液脱，腠理开，汗大泄为脾风，肉色败，鼻见黄色。,麻黄汤（《圣济总录》卷十九）、解风痹汤（《永乐大典》引《风科集验》）。忌猪肉、海藻、菘菜、生葱、生菜、桃、李、雀肉等。,《外台》卷十六引《删繁方》,麻黄/枳实/防风/白术/细辛/石膏/生姜/附子/甘草/桂心
麻黄桂枝汤,柴胡（三钱） 芍药（二钱半） 桂枝（去皮.一钱半） 甘草（炙.一钱半） 黄芩（一钱半） 半夏（一钱三分） 人参（一钱）,上为细末。,治伤寒六七日，发热微有恶寒，表证未解者。,上作一服，水二钟，生姜五片，大枣二枚，煎至一钟，食远服。麻黄黄芩汤（《校注妇人良方》卷十四）,明·方贤着《奇效良方》,柴胡/芍药/桂枝/甘草/黄芩/半夏/人参
麻黄桂枝各半汤,麻黄（去根节）、桂枝、芍药，各二钱半。甘草（炙.二钱），杏仁（去皮尖.十个）。,,伤寒通治。,上作一服，水二钟，生姜五片，大枣二枚，煎至一钟，不拘时服。,明·方贤着《奇效良方》,麻黄/桂枝/芍药/甘草/杏仁
麻黄桂枝升麻汤,木香1分，生姜1分，桂枝2分，半夏2分，陈皮2分，草豆蔻仁2分，厚朴2分，黑附子2分，黄柏2分，炙甘草3分，升麻3分，白术3分，茯苓3分，泽泻3分，黄耆5分，麻黄（不去节）5分，人参5分。,,妇人先患浑身麻木，睡觉则少减，开目则已而全愈；证已痊，又因心中烦恼，遍身骨节痛，身体沉重，饮食减少，腹中气不运转。,上作1服。以水2盏，煎至1盏，去滓，食远服。,《兰室秘藏》卷中,木香/生姜/桂枝/半夏/陈皮/草豆蔻仁/厚朴/黑附子/黄柏/炙甘草/升麻/白术/茯苓/泽泻/黄耆/麻黄/人参
麻黄桂心汤,麻黄（去根节，先煎，掠去沫，焙）2两，桂（去粗皮）1两，甘草（炙，锉）1两，干姜（炮）1两，石膏1两半，干薄荷叶半两，杏仁（去皮尖双仁）半两。,上为粗末。,中风伤寒，脉浮紧，发热恶寒，身体疼痛，汗不出而烦。,每服5钱匕，以水1盏半，加大枣2枚（去核），同煎至8分，去滓，食前温服。,《圣济总录》卷二十二,麻黄/桂/甘草/干姜/石膏/干薄荷叶/杏仁
麻黄根粉,麻黄根3两，石硫黄3两，米粉5合。,上药治下筛。,肾劳热，阴囊生疮。,安絮如常用粉法搭疮上，粉湿更搭之。《千金方衍义》：囊生湿疮，皆不洁污渍之故。故用麻黄根祛风逐湿，硫黄涤垢散邪，《本经》治妇人阴蚀与之同类，米粉益胃以助生肌。,《千金》卷十九,麻黄根/石硫黄/米粉
麻黄根汤,麻黄根1两，黄耆1两（锉），五味子半两，牡蛎2两（烧为粉），甘草3分（炙微赤），龙骨1两。,上为散。,伤寒虚汗不止。,每服5钱，以水1大盏，煎至5分，去滓温服，不拘时候。,《圣惠》卷十二,麻黄根/黄耆/五味子/牡蛎/甘草/龙骨
麻黄根散,麻黄根60克 附子30克（炮裂，去皮、脐）牡蛎60克（烧，研粉）,上药捣细罗为散。,治风虚汗出不止。,用药末30克，和白米粉250克拌令匀。以粉撒布于汗上，汗即止。用药末30克，和白米粉250克拌令匀。以粉撒布于汗上，汗即止。,《太平圣惠方》卷二十三,麻黄根/附子/牡蛎
麻黄栀子汤,麻黄（去根节）半两，栀子仁7枚，甘草（炙）3分。,上各锉细。,阴黄。病人寒热并十指疼痛，鼻中煤生。,用水2盏，煎至1盏，去滓，食后分2次温服。服药前宜先烙上脘穴，更灸20壮，次烙气海、下廉、内乳等穴，不愈，灸气海、天窗100壮。,《圣济总录》卷六十一,麻黄/栀子仁/甘草
